idWeek,Date
0,2000-04-02
1,2000-04-09
2,2000-04-16
3,2000-04-23
4,2000-04-30
5,2000-05-07
6,2000-05-14
7,2000-05-21
8,2000-05-28
9,2000-06-04
10,2000-06-11
11,2000-06-18
12,2000-06-25
13,2000-07-02
14,2000-07-09
15,2000-07-16
16,2000-07-23
17,2000-07-30
18,2000-08-06
19,2000-08-13
20,2000-08-20
21,2000-08-27
22,2000-09-03
23,2001-04-01
24,2001-04-08
25,2001-04-15
26,2001-04-22
27,2001-04-29
28,2001-05-06
29,2001-05-13
30,2001-05-20
31,2001-05-27
32,2001-06-03
33,2001-06-10
34,2001-06-17
35,2001-06-24
36,2001-07-01
37,2001-07-08
38,2001-07-15
39,2001-07-22
40,2001-07-29
41,2001-08-05
42,2001-08-12
43,2001-08-19
44,2001-08-26
45,2001-09-02
46,2002-04-07
47,2002-04-14
48,2002-04-21
49,2002-04-28
50,2002-05-05
51,2002-05-12
52,2002-05-19
53,2002-05-26
54,2002-06-02
55,2002-06-09
56,2002-06-16
57,2002-06-23
58,2002-06-30
59,2002-07-07
60,2002-07-14
61,2002-07-21
62,2002-07-28
63,2002-08-04
64,2002-08-11
65,2002-08-18
66,2002-08-25
67,2002-09-01
68,2002-09-08
69,2003-04-06
70,2003-04-13
71,2003-04-20
72,2003-04-27
73,2003-05-04
74,2003-05-11
75,2003-05-18
76,2003-05-25
77,2003-06-01
78,2003-06-08
79,2003-06-15
80,2003-06-22
81,2003-06-29
82,2003-07-06
83,2003-07-13
84,2003-07-20
85,2003-07-27
86,2003-08-03
87,2003-08-10
88,2003-08-17
89,2003-08-24
90,2003-08-31
91,2003-09-07
92,2004-04-04
93,2004-04-11
94,2004-04-18
95,2004-04-25
96,2004-05-02
97,2004-05-09
98,2004-05-16
99,2004-05-23
100,2004-05-30
101,2004-06-06
102,2004-06-13
103,2004-06-20
104,2004-06-27
105,2004-07-04
106,2004-07-11
107,2004-07-18
108,2004-07-25
109,2004-08-01
110,2004-08-08
111,2004-08-15
112,2004-08-22
113,2004-08-29
114,2004-09-05
115,2005-04-03
116,2005-04-10
117,2005-04-17
118,2005-04-24
119,2005-05-01
120,2005-05-08
121,2005-05-15
122,2005-05-22
123,2005-05-29
124,2005-06-05
125,2005-06-12
126,2005-06-19
127,2005-06-26
128,2005-07-03
129,2005-07-10
130,2005-07-17
131,2005-07-24
132,2005-07-31
133,2005-08-07
134,2005-08-14
135,2005-08-21
136,2005-08-28
137,2005-09-04
138,2006-04-02
139,2006-04-09
140,2006-04-16
141,2006-04-23
142,2006-04-30
143,2006-05-07
144,2006-05-14
145,2006-05-21
146,2006-05-28
147,2006-06-04
148,2006-06-11
149,2006-06-18
150,2006-06-25
151,2006-07-02
152,2006-07-09
153,2006-07-16
154,2006-07-23
155,2006-07-30
156,2006-08-06
157,2006-08-13
158,2006-08-20
159,2006-08-27
160,2006-09-03
161,2007-04-01
162,2007-04-08
163,2007-04-15
164,2007-04-22
165,2007-04-29
166,2007-05-06
167,2007-05-13
168,2007-05-20
169,2007-05-27
170,2007-06-03
171,2007-06-10
172,2007-06-17
173,2007-06-24
174,2007-07-01
175,2007-07-08
176,2007-07-15
177,2007-07-22
178,2007-07-29
179,2007-08-05
180,2007-08-12
181,2007-08-19
182,2007-08-26
183,2007-09-02
184,2008-04-06
185,2008-04-13
186,2008-04-20
187,2008-04-27
188,2008-05-04
189,2008-05-11
190,2008-05-18
191,2008-05-25
192,2008-06-01
193,2008-06-08
194,2008-06-15
195,2008-06-22
196,2008-06-29
197,2008-07-06
198,2008-07-13
199,2008-07-20
200,2008-07-27
201,2008-08-03
202,2008-08-10
203,2008-08-17
204,2008-08-24
205,2008-08-31
206,2008-09-07
207,2009-04-05
208,2009-04-12
209,2009-04-19
210,2009-04-26
211,2009-05-03
212,2009-05-10
213,2009-05-17
214,2009-05-24
215,2009-05-31
216,2009-06-07
217,2009-06-14
218,2009-06-21
219,2009-06-28
220,2009-07-05
221,2009-07-12
222,2009-07-19
223,2009-07-26
224,2009-08-02
225,2009-08-09
226,2009-08-16
227,2009-08-23
228,2009-08-30
229,2009-09-06
230,2010-04-04
231,2010-04-11
232,2010-04-18
233,2010-04-25
234,2010-05-02
235,2010-05-09
236,2010-05-16
237,2010-05-23
238,2010-05-30
239,2010-06-06
240,2010-06-13
241,2010-06-20
242,2010-06-27
243,2010-07-04
244,2010-07-11
245,2010-07-18
246,2010-07-25
247,2010-08-01
248,2010-08-08
249,2010-08-15
250,2010-08-22
251,2010-08-29
252,2010-09-05
253,2011-04-03
254,2011-04-10
255,2011-04-17
256,2011-04-24
257,2011-05-01
258,2011-05-08
259,2011-05-15
260,2011-05-22
261,2011-05-29
262,2011-06-05
263,2011-06-12
264,2011-06-19
265,2011-06-26
266,2011-07-03
267,2011-07-10
268,2011-07-17
269,2011-07-24
270,2011-07-31
271,2011-08-07
272,2011-08-14
273,2011-08-21
274,2011-08-28
275,2011-09-04
276,2012-04-01
277,2012-04-08
278,2012-04-15
279,2012-04-22
280,2012-04-29
281,2012-05-06
282,2012-05-13
283,2012-05-20
284,2012-05-27
285,2012-06-03
286,2012-06-10
287,2012-06-17
288,2012-06-24
289,2012-07-01
290,2012-07-08
291,2012-07-15
292,2012-07-22
293,2012-07-29
294,2012-08-05
295,2012-08-12
296,2012-08-19
297,2012-08-26
298,2012-09-02
299,2013-04-07
300,2013-04-14
301,2013-04-21
302,2013-04-28
303,2013-05-05
304,2013-05-12
305,2013-05-19
306,2013-05-26
307,2013-06-02
308,2013-06-09
309,2013-06-16
310,2013-06-23
311,2013-06-30
312,2013-07-07
313,2013-07-14
314,2013-07-21
315,2013-07-28
316,2013-08-04
317,2013-08-11
318,2013-08-18
319,2013-08-25
320,2013-09-01
321,2013-09-08
322,2014-04-06
323,2014-04-13
324,2014-04-20
325,2014-04-27
326,2014-05-04
327,2014-05-11
328,2014-05-18
329,2014-05-25
330,2014-06-01
331,2014-06-08
332,2014-06-15
333,2014-06-22
334,2014-06-29
335,2014-07-06
336,2014-07-13
337,2014-07-20
338,2014-07-27
339,2014-08-03
340,2014-08-10
341,2014-08-17
342,2014-08-24
343,2014-08-31
344,2014-09-07
345,2015-04-05
346,2015-04-12
347,2015-04-19
348,2015-04-26
349,2015-05-03
350,2015-05-10
351,2015-05-17
352,2015-05-24
353,2015-05-31
354,2015-06-07
355,2015-06-14
356,2015-06-21
357,2015-06-28
358,2015-07-05
359,2015-07-12
360,2015-07-19
361,2015-07-26
362,2015-08-02
363,2015-08-09
364,2015-08-16
365,2015-08-23
366,2015-08-30
367,2015-09-06
368,2016-04-03
369,2016-04-10
370,2016-04-17
371,2016-04-24
372,2016-05-01
373,2016-05-08
374,2016-05-15
375,2016-05-22
376,2016-05-29
377,2016-06-05
378,2016-06-12
379,2016-06-19
380,2016-06-26
381,2016-07-03
382,2016-07-10
383,2016-07-17
384,2016-07-24
385,2016-07-31
386,2016-08-07
387,2016-08-14
388,2016-08-21
389,2016-08-28
390,2016-09-04
391,2017-04-02
392,2017-04-09
393,2017-04-16
394,2017-04-23
395,2017-04-30
396,2017-05-07
397,2017-05-14
398,2017-05-21
399,2017-05-28
400,2017-06-04
401,2017-06-11
402,2017-06-18
403,2017-06-25
404,2017-07-02
405,2017-07-09
406,2017-07-16
407,2017-07-23
408,2017-07-30
409,2017-08-06
410,2017-08-13
411,2017-08-20
412,2017-08-27
413,2017-09-03
414,2018-04-01
415,2018-04-08
416,2018-04-15
417,2018-04-22
418,2018-04-29
419,2018-05-06
420,2018-05-13
421,2018-05-20
422,2018-05-27
423,2018-06-03
424,2018-06-10
425,2018-06-17
426,2018-06-24
427,2018-07-01
428,2018-07-08
429,2018-07-15
430,2018-07-22
431,2018-07-29
432,2018-08-05
433,2018-08-12
434,2018-08-19
435,2018-08-26
436,2018-09-02
